53.44912580502272,14.544046053004006;53.44871208861417,14.543989726614694;53.44874723070511,14.543045589041451;53.44916573882572,14.543136784147958
53.4748126719618,14.583263933563297;53.474684960832214,14.583022534751956;53.4749324007967,14.582738220596378;53.47501062345306,14.583070814514224
53.44096703536162,14.561018377680725;53.44009150883739,14.560835987467712;53.44013624420664,14.560213714976257;53.44096064472244,14.56040683402533
53.43709358218775,14.53997275921846;53.43679626190796,14.540267716780075;53.436511849618164,14.539522062673935;53.43686656577606,14.53916264666594
53.41316272364463,14.530194928653243;53.41240652945585,14.53002863169432;53.41245768889477,14.529143502719405;53.41321707958001,14.529242744452956
53.41133005985557,14.529851540828428;53.41080405999333,14.5295404045827;53.41089838871475,14.528818890357694;53.41138601690493,14.52904151370593
53.459678318781,14.49985324920707;53.45928546578728,14.499488468781045;53.459847595779685,14.498426314011148;53.46011588247063,14.499075408592752
53.45404374641163,14.540374191515303;53.453644452554755,14.541055472605086;53.452954463921344,14.54019716572032;53.453302654031035,14.539397867433882
53.40559337039209,14.562664175547994;53.40469792684102,14.562299395121968;53.40524798725518,14.559896135844625;53.405951542535384,14.560346746959127
53.369149325551454,14.652321909756715;53.36847076795194,14.65242919811731;53.368323532328766,14.650540922970826;53.36902769809753,14.650272702069337
53.363435924526364,14.657197713780604;53.36297495684132,14.657176256108485;53.36305818748669,14.655706405568324;53.36353195883304,14.656017541814052
53.3660422139879,14.65901388631313;53.365757328365206,14.659088988165546;53.36569170837321,14.6580000113055;53.36593498198272,14.657965142588306
53.368436194041756,14.666066069504824;53.36800728850389,14.665540356537905;53.36839778476664,14.66465522756299;53.36870185724653,14.665604729554262
53.37361822786369,14.675201656932767;53.373043442617316,14.675867557525635;53.372690106936574,14.674504282588895;53.37336859732671,14.67387128126138
53.37490821510397,14.666837624012667;53.37458498507312,14.66674642890616;53.37458498507312,14.666212669312197;53.374945018367754,14.666357508599
53.37502930358614,14.654693294142334;53.374568461335606,14.654628921125976;53.37490769292101,14.652697730635253;53.375253322323466,14.652815747831909
53.375147772352754,14.691515925396205;53.37458452160277,14.690936568248988;53.37483414501333,14.690164092052699;53.37527578284802,14.69064688967538
53.37795745070729,14.697507928912769;53.37751584068064,14.69698221594585;53.37779744760346,14.69624192625774;53.37805985237824,14.696810554568897
53.40392212337844,14.684653267842336;53.40364068923803,14.684846386891408;53.4033912346936,14.68378423212151;53.40366627423682,14.683430180531545
53.397773774242864,14.670697385894176;53.39705089200606,14.671287471877452;53.396910152443375,14.670193130599376;53.39750686585291,14.669827222824097
53.39494293092681,14.673501284326091;53.39447590654686,14.674391777719036;53.39425518776205,14.673833878243938;53.394744606131255,14.672814638818279
